,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
1367,Alex Johnson,Male,39,No,Yes,No,Yes,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,No,No,Yes,4,No,Yes,Maybe addicted
1368,John Doe,Female,22,Yes,Yes,No,No,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,No,No,4,No,No, NOT Adicted
1369,Maria Garcia,Female,21,Yes,No,Yes,No,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,No,Yes,2,Yes,Yes,Maybe addicted
1370,Maria Garcia,Female,47,Yes,No,Yes,No,Yes,No,No,Often,No,No,No,No,No,Yes,Yes,2,No,No,Maybe addicted
1371,Alex Johnson,Female,28,No,No,No,No,Yes,Yes,No,Often,Yes,No,No,No,Yes,Yes,No,2,Yes,No,Maybe addicted
1372,Maria Garcia,Male,48,Yes,No,Yes,No,No,Yes,No,Often,No,Yes,Yes,No,Yes,Yes,Yes,4,No,No,Adicted
1373,Emily Martinez,Male,59,No,Yes,No,No,No,No,No,Often,No,No,Yes,No,No,Yes,Yes,0,No,No, NOT Adicted
1374,Jane Smith,Female,31,Yes,No,No,No,No,No,Yes,Often,Yes,Yes,No,No,No,No,Yes,0,Yes,No,Maybe addicted
1375,John Doe,Female,58,No,No,Yes,Yes,Yes,No,No,Often,Yes,No,Yes,No,No,No,No,3,Yes,Yes,Maybe addicted
1376,John Doe,Female,40,Yes,Yes,Yes,No,No,Yes,No,Often,No,No,No,No,No,Yes,No,1,Yes,Yes, NOT Adicted
1377,James Lee,Male,60,Yes,No,No,Yes,Yes,Yes,No,Sometimes,No,Yes,Yes,No,Yes,No,No,2,No,Yes,Adicted
1378,James Lee,Female,30,No,No,No,Yes,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,No,Yes,No,3,No,Yes,Adicted
1379,Emily Martinez,Female,48,Yes,Yes,No,Yes,No,Yes,No,Rarely,No,Yes,Yes,No,Yes,Yes,Yes,4,Yes,No,Adicted
1380,Emily Martinez,Female,37,No,Yes,No,Yes,No,Yes,No,Sometimes,No,Yes,No,Yes,No,Yes,Yes,3,Yes,No,Maybe addicted
1381,James Lee,Male,60,No,No,No,No,No,Yes,No,Often,Yes,No,No,Yes,No,Yes,No,5,No,Yes, NOT Adicted
1382,Emily Martinez,Female,29,Yes,No,No,No,Yes,Yes,No,Often,No,Yes,No,Yes,No,No,No,2,Yes,Yes,Adicted
1383,Alex Johnson,Male,57,No,No,No,No,Yes,Yes,Yes,Rarely,No,Yes,No,Yes,No,No,No,4,No,Yes,Adicted
1384,Alex Johnson,Male,18,Yes,Yes,No,No,Yes,No,No,Rarely,No,No,No,Yes,No,No,No,5,No,Yes,Maybe addicted
1385,Jane Smith,Male,18,No,No,No,No,No,Yes,No,Never,No,Yes,Yes,Yes,Yes,No,No,5,Yes,No, NOT Adicted
1386,Alex Johnson,Female,50,Yes,Yes,No,No,No,Yes,Yes,Often,No,No,No,Yes,No,No,No,2,No,No, NOT Adicted
1387,Maria Garcia,Male,45,No,Yes,No,No,No,No,No,Rarely,Yes,No,Yes,No,No,Yes,No,1,Yes,No, NOT Adicted
1388,Emily Martinez,Female,28,Yes,Yes,No,No,Yes,No,Yes,Often,No,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe addicted
1389,James Lee,Male,30,Yes,No,Yes,No,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,No,Yes,2,Yes,No, NOT Adicted
1390,John Doe,Female,37,Yes,No,Yes,Yes,No,Yes,No,Never,No,Yes,No,Yes,Yes,Yes,Yes,1,Yes,Yes,Maybe addicted
1391,Emily Martinez,Male,29,No,No,No,No,Yes,No,No,Rarely,No,No,Yes,Yes,Yes,No,Yes,2,No,No,Adicted
1392,James Lee,Male,40,Yes,No,No,No,No,No,Yes,Rarely,Yes,No,No,Yes,Yes,Yes,No,4,No,No,Adicted
1393,James Lee,Female,49,Yes,Yes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,No,No,No,No,1,No,No,Maybe addicted
1394,Maria Garcia,Female,31,No,Yes,No,Yes,Yes,No,Yes,Often,No,No,Yes,No,Yes,No,No,5,Yes,No,Adicted
1395,John Doe,Male,39,Yes,No,No,Yes,No,Yes,No,Never,No,No,No,No,Yes,Yes,Yes,1,No,Yes, NOT Adicted
1396,James Lee,Male,50,No,No,Yes,Yes,Yes,No,No,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes,0,Yes,No, NOT Adicted
1397,John Doe,Male,24,No,Yes,Yes,No,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,0,Yes,Yes, NOT Adicted
1398,James Lee,Male,42,No,No,Yes,Yes,Yes,Yes,No,Never,Yes,Yes,No,No,Yes,Yes,No,3,No,No, NOT Adicted
1399,Maria Garcia,Female,64,No,Yes,Yes,No,Yes,No,No,Often,Yes,No,Yes,Yes,No,Yes,No,2,No,No, NOT Adicted
1400,John Doe,Female,25,Yes,Yes,Yes,Yes,Yes,No,Yes,Often,Yes,No,No,Yes,Yes,No,Yes,5,Yes,Yes,Adicted
1401,Emily Martinez,Male,41,No,Yes,No,No,Yes,Yes,Yes,Rarely,No,Yes,Yes,No,Yes,No,No,0,Yes,No,Adicted
1402,Emily Martinez,Male,40,Yes,No,No,Yes,Yes,No,No,Often,Yes,Yes,No,Yes,Yes,Yes,No,1,Yes,No,Adicted
1403,Maria Garcia,Male,45,Yes,Yes,No,Yes,No,Yes,No,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,0,Yes,Yes, NOT Adicted
1404,John Doe,Female,25,Yes,Yes,No,Yes,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,No,0,No,No,Maybe addicted
1405,Jane Smith,Male,42,Yes,Yes,No,Yes,No,No,Yes,Never,Yes,No,No,No,Yes,Yes,Yes,5,No,Yes,Maybe addicted
1406,Jane Smith,Male,58,Yes,Yes,No,No,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,Yes,No,5,Yes,No,Adicted
1407,Alex Johnson,Male,31,Yes,Yes,Yes,Yes,Yes,No,No,Rarely,Yes,No,Yes,Yes,No,No,No,2,No,Yes,Adicted
1408,Jane Smith,Female,36,No,Yes,Yes,No,Yes,No,Yes,Rarely,Yes,No,Yes,Yes,No,Yes,No,1,No,No,Adicted
1409,Emily Martinez,Male,25,Yes,No,Yes,Yes,No,Yes,No,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,No,2,Yes,No,Maybe addicted
1410,Alex Johnson,Male,54,No,No,No,Yes,No,No,No,Often,No,Yes,No,Yes,No,No,No,2,No,Yes,Maybe addicted
1411,James Lee,Male,61,No,Yes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,No,Yes,No,Yes,No,4,Yes,Yes,Adicted
1412,John Doe,Female,58,No,Yes,No,Yes,No,Yes,No,Never,No,No,Yes,No,Yes,Yes,Yes,3,No,No,Maybe addicted
1413,James Lee,Female,23,Yes,Yes,Yes,Yes,No,Yes,No,Often,No,Yes,Yes,No,Yes,Yes,No,3,Yes,Yes, NOT Adicted
1414,Alex Johnson,Female,49,Yes,Yes,Yes,Yes,Yes,No,Yes,Never,Yes,No,Yes,No,No,No,Yes,4,Yes,No, NOT Adicted
1415,Emily Martinez,Male,30,No,Yes,No,Yes,No,Yes,No,Often,Yes,No,No,Yes,No,No,No,0,Yes,No,Adicted
1416,James Lee,Female,54,Yes,No,No,Yes,No,No,Yes,Rarely,Yes,No,No,No,Yes,No,Yes,1,Yes,Yes,Maybe addicted
1417,Alex Johnson,Male,60,Yes,No,No,No,Yes,No,No,Never,No,Yes,Yes,Yes,No,Yes,No,0,No,Yes, NOT Adicted
1418,Alex Johnson,Female,61,Yes,No,Yes,No,Yes,Yes,Yes,Often,No,Yes,Yes,No,No,Yes,No,3,Yes,Yes,Maybe addicted
1419,Maria Garcia,Female,23,Yes,Yes,Yes,No,Yes,No,Yes,Often,No,Yes,Yes,Yes,Yes,No,Yes,0,No,Yes,Maybe addicted
1420,Jane Smith,Male,65,Yes,Yes,No,Yes,Yes,No,Yes,Sometimes,No,Yes,No,Yes,Yes,Yes,No,4,No,Yes,Maybe addicted
1421,Maria Garcia,Female,65,Yes,No,No,Yes,Yes,No,Yes,Never,No,No,Yes,Yes,No,No,Yes,2,Yes,No, NOT Adicted
1422,John Doe,Female,61,No,No,No,Yes,No,Yes,No,Never,Yes,No,Yes,Yes,No,No,Yes,0,Yes,No,Maybe addicted
1423,James Lee,Male,28,Yes,Yes,Yes,Yes,No,No,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,No,3,No,Yes,Adicted
1424,Emily Martinez,Male,35,Yes,No,No,No,No,No,Yes,Often,Yes,No,No,No,Yes,Yes,Yes,2,No,Yes,Maybe addicted
1425,Alex Johnson,Male,32,Yes,Yes,No,Yes,No,No,No,Never,No,Yes,Yes,No,No,Yes,Yes,3,Yes,Yes, NOT Adicted
1426,Jane Smith,Female,23,No,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,No,No,No,No,1,No,No, NOT Adicted
1427,Jane Smith,Male,24,Yes,No,Yes,No,Yes,Yes,No,Often,No,No,Yes,Yes,Yes,No,Yes,3,Yes,Yes, NOT Adicted
1428,Maria Garcia,Female,47,Yes,Yes,Yes,No,No,Yes,Yes,Often,No,No,No,No,No,Yes,Yes,0,No,No,Maybe addicted
1429,Jane Smith,Female,26,No,Yes,Yes,Yes,No,Yes,Yes,Often,Yes,Yes,Yes,No,Yes,No,Yes,1,Yes,Yes,Adicted
1430,James Lee,Female,26,Yes,No,No,No,Yes,Yes,No,Rarely,Yes,No,Yes,No,Yes,No,Yes,2,Yes,Yes, NOT Adicted
1431,Maria Garcia,Male,56,No,Yes,Yes,No,No,Yes,Yes,Never,Yes,No,Yes,Yes,No,Yes,Yes,5,Yes,Yes,Maybe addicted
1432,James Lee,Female,37,No,No,No,No,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Yes,Yes,No,4,No,No,Maybe addicted
1433,Maria Garcia,Female,41,No,Yes,Yes,Yes,No,No,No,Often,Yes,Yes,Yes,No,Yes,Yes,No,5,Yes,Yes,Adicted
1434,James Lee,Female,47,No,No,Yes,No,Yes,No,No,Often,Yes,No,Yes,No,Yes,No,Yes,0,Yes,No,Maybe addicted
1435,Maria Garcia,Female,44,Yes,No,No,No,No,Yes,No,Often,Yes,Yes,Yes,Yes,Yes,No,Yes,5,Yes,Yes, NOT Adicted
1436,Jane Smith,Female,37,No,Yes,Yes,No,Yes,No,No,Often,Yes,Yes,Yes,Yes,Yes,No,No,0,No,No,Maybe addicted
1437,John Doe,Male,51,Yes,Yes,No,No,Yes,No,No,Often,No,Yes,Yes,Yes,No,No,Yes,4,Yes,No,Adicted
1438,Maria Garcia,Male,64,No,Yes,No,Yes,Yes,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,No,Yes,1,No,No, NOT Adicted
1439,Jane Smith,Male,57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,No,3,No,Yes,Maybe addicted
1440,Emily Martinez,Male,24,Yes,No,No,Yes,Yes,No,No,Often,No,No,Yes,No,No,Yes,Yes,3,No,No, NOT Adicted
1441,Alex Johnson,Male,18,No,Yes,No,Yes,No,Yes,Yes,Sometimes,No,No,No,No,No,No,No,0,No,Yes,Maybe addicted
1442,John Doe,Male,58,No,No,Yes,Yes,No,Yes,No,Sometimes,No,No,No,Yes,No,No,No,2,Yes,Yes,Maybe addicted
1443,James Lee,Male,28,No,No,No,Yes,Yes,No,No,Often,Yes,Yes,No,No,Yes,Yes,No,5,No,Yes, NOT Adicted
1444,James Lee,Female,61,No,Yes,No,Yes,No,Yes,Yes,Often,No,Yes,No,No,No,No,No,4,No,No,Maybe addicted
1445,Emily Martinez,Female,46,No,Yes,No,No,Yes,Yes,Yes,Sometimes,Yes,No,No,Yes,No,Yes,Yes,5,Yes,Yes, NOT Adicted
1446,James Lee,Male,21,Yes,No,Yes,Yes,No,No,Yes,Sometimes,Yes,No,Yes,No,Yes,No,Yes,5,Yes,No,Adicted
1447,Emily Martinez,Female,61,No,Yes,No,Yes,No,Yes,No,Rarely,Yes,No,Yes,Yes,No,Yes,No,1,Yes,Yes, NOT Adicted
1448,Jane Smith,Female,44,Yes,No,No,No,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,No,0,Yes,No, NOT Adicted
1449,James Lee,Female,22,No,No,No,Yes,No,No,Yes,Rarely,No,Yes,No,No,Yes,No,No,3,No,No,Maybe addicted
1450,James Lee,Female,43,No,No,No,Yes,No,Yes,No,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,3,No,Yes,Adicted
1451,John Doe,Male,38,Yes,No,Yes,Yes,No,No,No,Sometimes,Yes,No,Yes,No,No,Yes,No,5,Yes,No,Adicted
1452,John Doe,Female,56,Yes,No,No,No,No,Yes,No,Sometimes,No,Yes,Yes,Yes,Yes,Yes,No,3,Yes,No,Adicted
1453,Emily Martinez,Female,33,No,No,Yes,No,No,Yes,No,Never,No,Yes,Yes,Yes,Yes,Yes,No,1,No,No,Maybe addicted
1454,James Lee,Female,51,No,No,Yes,No,No,No,No,Never,No,Yes,Yes,No,Yes,Yes,No,2,Yes,No,Adicted
1455,Alex Johnson,Female,52,Yes,Yes,Yes,Yes,No,No,No,Rarely,No,Yes,Yes,Yes,No,No,Yes,4,No,Yes,Maybe addicted
1456,Alex Johnson,Male,38,Yes,No,Yes,Yes,No,No,Yes,Rarely,No,No,Yes,No,Yes,No,No,2,Yes,Yes,Maybe addicted
1457,Maria Garcia,Male,26,Yes,Yes,Yes,No,Yes,Yes,No,Often,No,No,Yes,Yes,No,Yes,No,5,Yes,No,Adicted
1458,Emily Martinez,Male,39,Yes,No,No,No,No,Yes,No,Never,Yes,Yes,Yes,No,No,No,Yes,0,Yes,Yes, NOT Adicted
1459,James Lee,Male,64,No,No,Yes,No,No,Yes,Yes,Never,Yes,Yes,No,No,Yes,Yes,No,1,Yes,Yes, NOT Adicted
1460,Alex Johnson,Female,22,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,No,Yes,No,No,Yes,5,No,No, NOT Adicted
1461,Jane Smith,Female,21,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Yes,No,No,Yes,No,No,Yes,5,No,No,Adicted
1462,Emily Martinez,Female,52,Yes,No,Yes,Yes,Yes,Yes,No,Rarely,No,Yes,No,No,Yes,No,No,5,Yes,No, NOT Adicted
1463,Maria Garcia,Male,63,No,Yes,Yes,Yes,Yes,Yes,Yes,Often,No,No,No,No,No,Yes,Yes,5,No,Yes,Maybe addicted
1464,James Lee,Male,27,No,No,No,No,No,No,No,Never,No,Yes,Yes,Yes,Yes,No,Yes,3,No,Yes,Maybe addicted
1465,John Doe,Female,57,No,No,Yes,No,No,Yes,Yes,Often,No,Yes,Yes,No,No,No,No,5,Yes,Yes,Maybe addicted
1466,Jane Smith,Female,47,Yes,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,No,No,No,No,Yes,5,Yes,No, NOT Adicted
1467,James Lee,Female,24,No,Yes,Yes,No,Yes,Yes,Yes,Often,Yes,No,No,No,Yes,Yes,Yes,0,No,No, NOT Adicted
1468,Jane Smith,Female,52,Yes,No,Yes,No,No,No,Yes,Rarely,Yes,No,No,No,Yes,Yes,Yes,2,Yes,No,Adicted
1469,Emily Martinez,Female,37,Yes,No,No,No,No,Yes,No,Often,Yes,No,Yes,No,Yes,No,No,4,Yes,No,Adicted
1470,Emily Martinez,Male,22,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,No,No,No,Yes,Yes,Yes,Yes,4,Yes,Yes, NOT Adicted
1471,Jane Smith,Male,18,Yes,No,No,No,No,Yes,No,Rarely,No,Yes,No,No,Yes,Yes,Yes,0,No,Yes, NOT Adicted
1472,Maria Garcia,Female,64,Yes,Yes,No,Yes,Yes,Yes,No,Rarely,No,Yes,No,No,No,Yes,Yes,2,No,No, NOT Adicted
1473,Maria Garcia,Male,65,No,Yes,Yes,Yes,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,No,No,No,4,Yes,Yes,Maybe addicted
1474,Jane Smith,Female,42,Yes,No,Yes,Yes,No,Yes,No,Never,No,No,Yes,Yes,No,Yes,Yes,0,Yes,Yes, NOT Adicted
1475,Alex Johnson,Male,38,No,No,No,No,Yes,No,No,Often,Yes,Yes,No,Yes,No,No,No,1,Yes,Yes,Adicted
1476,Jane Smith,Female,34,No,Yes,No,Yes,Yes,Yes,Yes,Often,No,No,No,Yes,Yes,Yes,No,4,Yes,No, NOT Adicted
1477,Maria Garcia,Male,21,Yes,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,No,5,Yes,No, NOT Adicted
1478,James Lee,Male,52,No,Yes,Yes,No,No,No,No,Often,No,No,Yes,No,No,No,No,2,Yes,No, NOT Adicted
1479,Emily Martinez,Male,22,Yes,No,Yes,No,Yes,No,Yes,Often,Yes,No,No,No,No,Yes,No,1,No,No, NOT Adicted
1480,James Lee,Female,47,Yes,No,No,Yes,No,Yes,Yes,Never,No,No,No,Yes,Yes,Yes,No,4,No,Yes,Adicted
1481,Jane Smith,Female,27,Yes,Yes,Yes,Yes,Yes,No,Yes,Rarely,No,Yes,Yes,No,No,No,No,4,No,No,Maybe addicted
1482,Emily Martinez,Female,27,No,No,Yes,No,Yes,No,Yes,Never,Yes,Yes,Yes,Yes,No,Yes,No,5,No,No, NOT Adicted
1483,James Lee,Male,27,No,Yes,Yes,Yes,No,Yes,Yes,Often,No,No,Yes,Yes,Yes,Yes,Yes,0,No,No, NOT Adicted
1484,James Lee,Male,63,Yes,Yes,Yes,Yes,Yes,No,No,Often,Yes,No,No,No,Yes,No,No,5,No,Yes, NOT Adicted
1485,Emily Martinez,Female,28,No,Yes,No,Yes,No,Yes,No,Sometimes,No,No,No,Yes,No,Yes,No,3,No,Yes, NOT Adicted
1486,Emily Martinez,Male,64,Yes,Yes,Yes,Yes,No,Yes,Yes,Never,Yes,No,Yes,Yes,Yes,Yes,No,5,No,No,Maybe addicted
1487,James Lee,Female,59,No,Yes,No,No,No,Yes,No,Often,No,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Maybe addicted
1488,Maria Garcia,Male,59,Yes,Yes,Yes,No,Yes,No,Yes,Often,Yes,Yes,Yes,No,No,Yes,No,3,No,Yes, NOT Adicted
1489,Emily Martinez,Male,61,No,Yes,Yes,No,Yes,Yes,No,Sometimes,Yes,No,Yes,No,No,No,No,1,No,No, NOT Adicted
1490,Emily Martinez,Male,45,Yes,Yes,No,No,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,0,Yes,Yes,Adicted
1491,Jane Smith,Male,37,Yes,No,No,No,Yes,No,Yes,Often,Yes,Yes,No,Yes,No,Yes,No,4,No,Yes,Maybe addicted
1492,Maria Garcia,Female,21,No,No,Yes,No,Yes,Yes,Yes,Often,Yes,No,Yes,No,Yes,No,Yes,3,Yes,Yes, NOT Adicted
1493,Maria Garcia,Male,44,No,Yes,Yes,No,No,Yes,Yes,Often,No,No,No,Yes,No,No,Yes,1,Yes,No,Adicted
1494,Emily Martinez,Male,43,Yes,No,Yes,Yes,Yes,No,Yes,Never,No,No,Yes,No,Yes,No,No,5,Yes,Yes, NOT Adicted
1495,John Doe,Male,43,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,Yes,Yes,No,Yes,No,4,Yes,Yes,Adicted
1496,Alex Johnson,Male,32,Yes,No,No,No,Yes,Yes,No,Sometimes,Yes,Yes,Yes,No,No,Yes,No,2,Yes,Yes,Adicted
1497,Maria Garcia,Male,54,Yes,Yes,Yes,Yes,No,No,No,Never,No,Yes,Yes,Yes,No,No,Yes,4,Yes,No,Maybe addicted
1498,Emily Martinez,Male,58,Yes,Yes,No,Yes,No,No,Yes,Rarely,No,No,Yes,No,No,No,Yes,3,Yes,Yes,Maybe addicted
1499,James Lee,Male,38,No,Yes,No,No,Yes,No,Yes,Often,Yes,Yes,Yes,No,No,Yes,Yes,0,No,Yes, NOT Adicted
1500,Maria Garcia,Female,62,Yes,Yes,Yes,No,No,Yes,Yes,Never,No,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Yes, NOT Adicted
1501,John Doe,Female,51,Yes,No,Yes,No,Yes,No,No,Never,No,Yes,No,Yes,No,Yes,No,1,No,Yes,Maybe addicted
1502,Emily Martinez,Female,19,No,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,Yes,No, NOT Adicted
1503,Emily Martinez,Male,53,No,Yes,No,Yes,Yes,Yes,No,Never,No,Yes,No,No,Yes,Yes,Yes,0,No,No,Maybe addicted
1504,Jane Smith,Male,37,No,Yes,Yes,Yes,Yes,No,No,Sometimes,No,No,Yes,Yes,No,Yes,Yes,5,Yes,Yes, NOT Adicted
1505,Alex Johnson,Male,46,No,No,Yes,No,Yes,No,No,Often,Yes,Yes,Yes,No,Yes,No,No,1,No,Yes,Maybe addicted
1506,Jane Smith,Male,51,Yes,Yes,Yes,Yes,No,No,No,Never,Yes,Yes,No,No,Yes,Yes,Yes,3,No,No, NOT Adicted
1507,Alex Johnson,Female,64,Yes,Yes,Yes,No,No,Yes,No,Never,No,No,Yes,No,No,No,Yes,0,No,Yes,Maybe addicted
1508,Maria Garcia,Female,61,No,No,Yes,No,Yes,Yes,No,Never,Yes,Yes,No,Yes,Yes,No,Yes,4,Yes,No,Adicted
1509,Jane Smith,Male,46,Yes,Yes,No,No,No,Yes,No,Never,No,No,No,No,Yes,No,No,0,Yes,Yes, NOT Adicted
1510,Jane Smith,Female,38,No,No,Yes,No,Yes,Yes,No,Sometimes,No,Yes,No,No,Yes,No,Yes,4,No,Yes, NOT Adicted
1511,John Doe,Male,65,No,No,No,No,No,Yes,No,Often,Yes,No,Yes,No,Yes,No,No,2,No,No, NOT Adicted
1512,John Doe,Female,22,Yes,No,Yes,No,Yes,No,No,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Yes,Adicted
1513,James Lee,Male,49,Yes,Yes,No,Yes,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Yes,Yes,Yes,5,No,No,Maybe addicted
1514,Maria Garcia,Female,45,No,Yes,Yes,Yes,No,Yes,No,Never,No,No,Yes,Yes,No,No,No,5,No,Yes, NOT Adicted
1515,John Doe,Female,63,No,No,Yes,Yes,Yes,Yes,No,Rarely,No,No,No,Yes,Yes,No,Yes,5,No,No, NOT Adicted
1516,James Lee,Male,37,Yes,Yes,Yes,Yes,Yes,No,No,Rarely,No,No,No,No,Yes,Yes,No,2,No,Yes,Maybe addicted
1517,Jane Smith,Female,64,Yes,Yes,Yes,No,No,Yes,No,Sometimes,Yes,No,No,Yes,No,No,No,4,No,No,Adicted
1518,Alex Johnson,Female,18,Yes,Yes,Yes,No,No,Yes,No,Never,No,Yes,No,No,No,Yes,Yes,3,Yes,Yes, NOT Adicted
1519,Alex Johnson,Male,44,Yes,No,No,No,Yes,No,No,Sometimes,Yes,No,No,No,Yes,No,Yes,1,No,No,Maybe addicted
1520,James Lee,Male,56,Yes,No,Yes,No,No,Yes,No,Rarely,Yes,Yes,Yes,No,No,No,No,0,Yes,No, NOT Adicted
1521,Emily Martinez,Female,49,Yes,No,Yes,No,Yes,Yes,No,Never,No,No,No,No,Yes,Yes,No,5,Yes,Yes,Adicted
1522,Maria Garcia,Female,47,Yes,Yes,Yes,Yes,No,Yes,No,Never,No,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Maybe addicted
1523,Emily Martinez,Male,53,Yes,Yes,No,No,No,No,Yes,Never,No,Yes,Yes,Yes,Yes,No,Yes,1,No,Yes, NOT Adicted
1524,Maria Garcia,Female,55,No,No,No,No,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,Yes,No,0,No,Yes,Maybe addicted
1525,Jane Smith,Male,62,No,No,No,No,Yes,No,Yes,Never,No,Yes,No,No,No,No,No,1,Yes,No,Adicted
1526,James Lee,Female,55,Yes,No,No,No,No,No,Yes,Never,Yes,Yes,Yes,Yes,No,No,No,4,No,Yes,Adicted
1527,Alex Johnson,Female,21,No,Yes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,3,No,No,Maybe addicted
1528,John Doe,Male,20,Yes,No,No,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Yes,No,4,Yes,No,Maybe addicted
1529,John Doe,Male,21,No,No,No,No,No,Yes,No,Never,Yes,No,Yes,No,Yes,Yes,Yes,1,No,Yes, NOT Adicted
1530,Maria Garcia,Female,50,No,Yes,Yes,No,Yes,No,Yes,Often,Yes,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Yes,Adicted
1531,Emily Martinez,Female,56,No,Yes,No,No,Yes,Yes,No,Rarely,No,No,No,Yes,Yes,Yes,No,3,No,No, NOT Adicted
1532,Jane Smith,Female,44,Yes,No,No,Yes,No,No,No,Rarely,Yes,Yes,Yes,Yes,No,Yes,No,4,No,No,Adicted
1533,Maria Garcia,Male,54,No,No,Yes,Yes,No,No,No,Rarely,Yes,Yes,No,No,No,No,No,1,No,No, NOT Adicted
1534,Emily Martinez,Male,45,Yes,No,Yes,No,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,No,0,No,No,Adicted
1535,Maria Garcia,Female,27,Yes,Yes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,No, NOT Adicted
1536,Jane Smith,Female,22,No,No,Yes,No,No,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,No,Yes,1,No,Yes,Adicted
1537,Emily Martinez,Female,44,No,No,No,Yes,No,Yes,No,Never,Yes,Yes,No,Yes,Yes,No,No,5,Yes,No,Maybe addicted
1538,Maria Garcia,Female,41,Yes,Yes,Yes,No,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,No,4,No,No,Maybe addicted
1539,Maria Garcia,Female,36,Yes,Yes,No,Yes,Yes,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,4,No,No,Adicted
1540,James Lee,Male,26,Yes,No,No,Yes,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Yes,Yes,Yes,0,No,No,Maybe addicted
1541,Jane Smith,Male,54,No,Yes,No,Yes,Yes,No,Yes,Never,No,Yes,Yes,No,No,Yes,No,5,No,No,Maybe addicted
1542,James Lee,Male,33,Yes,Yes,Yes,No,Yes,Yes,No,Rarely,No,Yes,No,Yes,Yes,Yes,Yes,1,No,No,Maybe addicted
1543,Emily Martinez,Female,22,No,Yes,No,Yes,Yes,No,No,Sometimes,Yes,No,No,No,No,Yes,No,5,Yes,Yes, NOT Adicted
1544,Maria Garcia,Male,41,Yes,Yes,Yes,Yes,No,Yes,No,Often,No,No,No,Yes,Yes,Yes,Yes,4,Yes,No,Maybe addicted
1545,John Doe,Male,28,Yes,No,Yes,Yes,No,No,No,Rarely,Yes,Yes,No,No,Yes,No,No,0,Yes,No,Maybe addicted
